Timestamp,DayInWeek,DayType,DurationSeconds_Source1,DistanceMeters_Source1,SpeedKmPerHour_Source1,SegmentCode,index,name,updateTime,id,Length_Source2,Time_Source2,HistoricTime_Source2,SpeedKmPerHour_Source2,HistoricSpeedKmPerHour_Source2
2024-02-13 00:15:00,יום ג,יום חול,38,409,38.74736786,12,2716,12_BENGURION--HANASI2MENDES-T,2024-02-13 00:15:00,1694269703496.0,405.0,27.666666666666668,27.73333333333333,52.69879518072289,52.57211538461538
2024-02-13 00:15:00,יום ג,יום חול,74,642,31.23243332,13,3614,13_MENDES--KATZIR2SHIBA-R,2024-02-13 00:15:00,1694272268271.0,652.0,65.8,65.8,35.671732522796354,35.671732522796354
2024-02-13 00:30:00,יום ג,יום חול,74,642,31.23243332,13,3615,13_MENDES--KATZIR2SHIBA-R,2024-02-13 00:30:00,1694272268271.0,652.0,65.0,65.0,36.11076923076923,36.11076923076923
2024-02-13 00:15:00,יום ג,יום חול,81,640,28.44444466,14,4512,14_MENDES--KATZIR2SHIBA-L,2024-02-13 00:15:00,1694272101417.0,662.0,73.73333333333333,73.73333333333333,32.32188065099458,32.32188065099458
2024-02-13 00:15:00,יום ג,יום חול,21,235,40.2857132,15,5410,15_BENGURION--SHLOMO2MENDES-R,2024-02-13 00:15:00,1694269535039.0,236.0,19.0,19.0,44.71578947368421,44.71578947368421
2024-02-13 00:30:00,יום ג,יום חול,21,235,40.2857132,15,5411,15_BENGURION--SHLOMO2MENDES-R,2024-02-13 00:30:00,1694269535039.0,236.0,18.933333333333334,19.0,44.87323943661972,44.71578947368421
2024-02-13 00:30:00,יום ג,יום חול,48,290,21.75,16,6309,16_BENGURION--SHLOMO2MENDES-L,2024-02-13 00:30:00,1694269481983.0,289.0,60.333333333333336,60.333333333333336,17.244198895027623,17.244198895027623
2024-02-13 00:15:00,יום ג,יום חול,47,290,22.21276665,16,6308,16_BENGURION--SHLOMO2MENDES-L,2024-02-13 00:15:00,1694269481983.0,289.0,62.93333333333333,62.93333333333333,16.53177966101695,16.53177966101695
2024-02-13 00:15:00,יום ג,יום חול,37,186,18.09729767,17,7206,17_KATZIR--EMEKHAELA2MENDES-T,2024-02-13 00:15:00,1694270365195.0,186.0,24.2,24.2,27.66942148760331,27.66942148760331
2024-02-13 00:30:00,יום ג,יום חול,40,186,16.73999977,17,7207,17_KATZIR--EMEKHAELA2MENDES-T,2024-02-13 00:30:00,1694270365195.0,186.0,25.0,25.0,26.784,26.784
2024-02-13 00:30:00,יום ג,יום חול,40,177,15.93000031,18,8105,18_KATZIR--MENDES2EMEKHAELA-T,2024-02-13 00:30:00,1694271436635.0,179.0,29.4,29.4,21.918367346938776,21.918367346938776
2024-02-13 00:15:00,יום ג,יום חול,40,177,15.93000031,18,8104,18_KATZIR--MENDES2EMEKHAELA-T,2024-02-13 00:15:00,1694271436635.0,179.0,30.133333333333333,30.133333333333333,21.384955752212388,21.384955752212388
2024-02-13 00:15:00,יום ג,יום חול,44,230,18.81818199,19,9002,19_KATZIR--EMEKHAELA2MENDES-L,2024-02-13 00:15:00,1694270516874.0,225.0,24.6,24.6,32.926829268292686,32.926829268292686
2024-02-13 00:30:00,יום ג,יום חול,48,230,17.25,19,9003,19_KATZIR--EMEKHAELA2MENDES-L,2024-02-13 00:30:00,1694270516874.0,225.0,23.2,23.2,34.91379310344828,34.91379310344828
2024-02-13 00:30:00,יום ג,יום חול,71,249,12.62535191,20,10799,20_KATZIR--HOSPITAL2EMEKHAELA-R,2024-02-13 00:30:00,1694271563866.0,252.0,60.93333333333333,60.93333333333333,14.888402625820572,14.888402625820572
2024-02-13 00:15:00,יום ג,יום חול,67,249,13.37910461,20,10798,20_KATZIR--HOSPITAL2EMEKHAELA-R,2024-02-13 00:15:00,1694271563866.0,252.0,61.4,61.4,14.775244299674268,14.775244299674268
2024-02-13 00:15:00,יום ג,יום חול,51,420,29.64705849,21,11696,21_SHIBA--HAARAZIM2GABRIELA-T,2024-02-13 00:15:00,1694272032473.0,408.0,38.13333333333333,38.13333333333333,38.51748251748252,38.51748251748252
2024-02-13 00:30:00,יום ג,יום חול,55,420,27.49090958,21,11697,21_SHIBA--HAARAZIM2GABRIELA-T,2024-02-13 00:30:00,1694272032473.0,408.0,36.8,36.8,39.91304347826088,39.91304347826088
2024-02-13 00:30:00,יום ג,יום חול,89,630,25.48314667,22,12595,22_EMEKHAELA--GABRIELS2KATZIR-L,2024-02-13 00:30:00,1694271238156.0,629.0,81.0,81.0,27.95555555555556,27.95555555555556
2024-02-13 00:15:00,יום ג,יום חול,88,630,25.77272797,22,12594,22_EMEKHAELA--GABRIELS2KATZIR-L,2024-02-13 00:15:00,1694271238156.0,629.0,85.0,85.0,26.64,26.64
2024-02-13 00:15:00,יום ג,יום חול,42,408,34.97142792,23,13492,23_BENGURION--HANASI2MENDES-R,2024-02-13 00:15:00,1694269759865.0,416.0,32.46666666666667,53.2,46.12731006160164,28.150375939849624
2024-02-13 00:30:00,יום ג,יום חול,46,408,31.93043518,23,13493,23_BENGURION--HANASI2MENDES-R,2024-02-13 00:30:00,1694269759865.0,416.0,38.4,48.66666666666666,39.0,30.77260273972603
2024-02-13 00:15:00,יום ג,יום חול,70,331,17.02285767,24,14390,24_KATZIR--YAAKOV2MENDES-R,2024-02-13 00:15:00,1694270892493.0,331.0,81.8,81.8,14.567237163814182,14.567237163814182
2024-02-13 00:15:00,יום ג,יום חול,65,300,16.61538506,25,15288,25_KATZIR--YAAKOV2MENDES-T,2024-02-13 00:15:00,1694270650456.0,298.0,87.13333333333334,87.13333333333334,12.312165263963276,12.312165263963276
2024-02-13 00:15:00,יום ג,יום חול,83,626,27.15180779,26,16186,26_EMEKHAELA--GABRIELS2KATZIR-T,2024-02-13 00:15:00,1694271080537.0,622.0,83.86666666666666,83.8,26.699523052464237,26.720763723150363
2024-02-13 00:30:00,יום ג,יום חול,101,667,23.77425766,1,9901,1_MENDES--KATZIR2SHIBA-T,2024-02-13 00:30:00,1694272171574.0,666.0,113.33333333333331,113.33333333333331,21.15529411764706,21.15529411764706
2024-02-13 00:45:00,יום ג,יום חול,99,667,24.25454521,1,9902,1_MENDES--KATZIR2SHIBA-T,2024-02-13 00:45:00,1694272171574.0,666.0,115.86666666666666,115.86666666666666,20.692750287687,20.692750287687
2024-02-13 00:45:00,יום ג,יום חול,60,356,21.36000061,2,17086,2_MENDES--BENGURION2KATZIR-R,2024-02-13 00:45:00,1694270107281.0,360.0,69.93333333333334,69.93333333333334,18.531935176358434,18.531935176358434
